title,status,translatorID,label,creator,target,minVersion,maxVersion,priority,inRepository,translatorType,browserSupport,lastUpdated,url1,globalRank,country,countryRank,url2,url3
ASCE.js,Normal,303bdfc5-11b8-4107-bca1-63ca97701a0f,ASCE,Sebastian Karcher,^https?://(www\.)?ascelibrary\.org/,2.1.9,,100,TRUE,4,gcsibv,4/1/2017 14:22,https://www.asce.org,41739,United States,14071,https://www.infrastructurereportcard.org,gmuasce.strikingly.com
ASCO Meeting Library.js,Normal,03d1aac2-bee2-43f4-8d9c-b96ef31e8c61,ASCO Meeting Library,Sebastian Karcher,^https?://meetinglibrary\.asco.\org/(content|search),3,,100,TRUE,4,gcsibv,11/1/2016 18:07,https://meetinglibrary.asco.org,110566,United States,47870,https://connection.asco.org/magazine/society/new-asco-university...,https://www.easycounter.com/report/meetinglibrary.asco.org
Ab Imperio.js,Normal,f3e31f93-c18d-4ba3-9aa6-1963702b5762,Ab Imperio,Avram Lyon,^https?://(www\.)?abimperio\.net/,2,,100,TRUE,4,gcs,2/28/2013 14:52,https://muse.jhu.edu/journal/573,3153,United States,947,https://abimperio.net,https://www.facebook.com/abimperiojournal
Access Medicine.js,Normal,60e55b65-08cb-4a8f-8a61-c36338ec8754,Access Medicine,Jaret M. Karnuta,^https?://(0-)?(access(anesthesiology|cardiology|emergencymedicine|medicine|pediatrics|surgery)|neurology)\.mhmedical\.com,3,,100,TRUE,4,gcsibv,1/12/2017 22:14,https://accessmedicine.mhmedical.com,15283,United States,7441,https://www.accessmedicine.md,https://www.accessmedicinenetwork.com
Agencia del ISBN.js,Normal,b8a86e36-c270-48c9-bdd1-22aaa167ef46,Agencia del ISBN,Michael Berkowitz,^https?://www\.mcu\.es/webISBN,3,,100,TRUE,4,gcs,6/10/2015 11:33,https://www.agenciaisbn.es,785594,Spain,19664,https://www.isbn-international.org,https://www.isbn-international.org/.../agencia-internacional-del-isbn
Air University Journals.js,Normal,e317b4d4-03cf-4356-aa3c-defadc6fd10e,Air University Journals,Sebastian Karcher,https?://www\.airuniversity\.af\.mil/(ASPJ|SSQ),3,,100,TRUE,4,gcsibv,12/11/2017 22:06,https://www.airuniversity.af.edu,116988,United States,16873,https://www.au.edu.pk,https://www.airuniversity.af.edu/AirUniversityResearch
Airiti.js,Normal,5f0ca39b-898a-4b1e-b98d-8cd0d6ce9801,Airiti,Aurimas Vinckevicius,^https?://([^/]+\.)?airitilibrary\.com/Publication/alDetailedMesh,3,,110,TRUE,12,gcsib,4/17/2018 21:16,https://en.wikipedia.org/wiki/Airiti_Inc,5,United States,6,www.airiti.com/en/One-Page/index.html,https://www.easycounter.com/report/portal.airiti.com
Alexander Street Press.js,Normal,0a84a653-79ea-4c6a-8a68-da933e3b504a,Alexander Street Press,John West and Michael Berkowitz,^https?://(www\.)alexanderstreet,1.0.0b4.r5,,100,TRUE,4,,1/8/2009 8:19,alexanderstreet.com,105541,United States,28767,https://search.alexanderstreet.com/avon,https://en.wikipedia.org/wiki/Alexander_Street
AllAfrica.js,Normal,34B1E0EA-FD02-4069-BAE4-ED4D98674A5E,AllAfrica,Sebastian Karcher,^https?://allafrica\.com/(stories|search)/*,1.0.0b4.r5,,100,TRUE,4,gcsv,11/1/2016 18:00,https://allafrica.com,15794,Nigeria,476,https://www.facebook.com/pages/allAfricacom/98946450029,https://twitter.com/allAfrica
AlterNet.js,Normal,ea531652-cdeb-4ec2-940e-627d4b107263,AlterNet,"Jesse Johnson, BBUCommander",^https?://(www\.)alternet\.org,2.1,,100,TRUE,4,gcsibv,11/1/2016 18:04,https://www.alternet.org,13913,United States,3203,https://www.alternet.org/news,https://en.wikipedia.org/wiki/AlterNet
Aluka.js,Normal,e8fc7ebc-b63d-4eb3-a16c-91da232f7220,Aluka,Philipp Zumstein,^https?://(www\.)aluka\.org/(stable/|struggles/search\?|struggles/collection/),3,,100,TRUE,4,gcsibv,9/27/2016 6:02,https://www.aluka.org,1088039,Algeria,31275,https://en.wikipedia.org/wiki/Aluka,https://www.webdoctx.com/www.aluka.org
Amazon.js,Normal,96b9f483-c44d-5784-cdad-ce21b984fe01,Amazon,"Sean Takats, Michael Berkowitz, and Simon Kornblith",^https?://((www\.)|(smile\.))?amazon,3,,100,TRUE,4,gcsbv,3/23/2018 7:21,http://www.amazon.com,10,United States,3,https://www.amazon.com,https://play.google.com/store/apps/details?id=com.amazon.mShop...
American Institute of Aeronautics and Astronautics.js,Normal,75edc5a1-6470-465a-a928-ccb77d95eb72,American Institute of Aeronautics and Astronautics,Michael Berkowitz,^https?://arc\.aiaa\.org/,3,,100,TRUE,4,gcv,12/12/2013 3:22,https://hallmarkuniversity.edu/aeronautics,800072,United States,280638,https://www.clearancejobs.com/join,www.aiaa.org
American Prospect.js,Normal,57fd3205-7211-4b9b-ad39-d2747247d0af,American Prospect,Sebastian Karcher,^https?://(www\.)?prospect\.org,2.1.9,,100,TRUE,4,gcsib,1/9/2013 15:36,prospect.org,96562,United States,25366,https://en.wikipedia.org/wiki/The_American_Prospect,https://twitter.com/theprospect
Ancestry.com US Federal Census.js,Normal,0dda3f89-15de-4479-987f-cc13f1ba7999,Ancestry.com US Federal Census,Elena Razlogova,^https?://search\.ancestry\.com/.*(usfedcen|1890orgcen|1910uscenindex),1.0.0b4.r1,,100,TRUE,4,g,6/2/2015 10:57,https://www.ancestry.com/search/categories/usfedcen,1114,United States,239,https://search.ancestry.com/search/db.aspx?dbid=6742,https://search.ancestry.com/search/db.aspx?dbid=7602
Annual Reviews.js,Normal,5f22bd25-5b70-11e1-bb1d-c4f24aa18c1e,Annual Reviews,Aurimas Vinckevicius,^https?://[^/]*annualreviews\.org(:[\d]+)?(?=/)[^?]*(/(toc|journal|doi)/|showMost(Read|Cited)Articles|doSearch),3,,150,TRUE,4,gcsibv,1/1/2017 15:19,http://www.amazon.com/books/science,10,United States,3,https://www.top10bestwebsitehosting.com/Hosting/Reviews&Deals,https://www.annualreviews.org
Antikvarium.hu.js,Normal,68a54283-67e0-4e1c-ad3d-5b699868b194,Antikvarium.hu,Vel??sy P??ter Krist??f,^https?://(www\.)?antikvarium\.hu/,3,,100,TRUE,4,gcsibv,11/11/2017 15:26,https://www.antikvarium.hu,87169,Hungary,430,https://www.webdoctx.com/www.antikvarium.hu,https://www.easycounter.com/report/antikvarium.hu
Archeion.js,Normal,f6717cbb-2771-4043-bde9-dbae19129bb3,Archeion,Sebastian Karcher,^https?://www\.(archeion|memorybc|albertaonrecord)\.ca,2.1.9,,100,TRUE,4,gcsibv,3/5/2018 7:08,https://www.archeion.ca,1674413,Canada,70739,https://www.archeion.ca/website,www.archeionnv.com/#!
Archiv fuer Sozialgeschichte.js,Normal,7ecb9512-9195-478a-a525-40e71b01f3b0,Archiv fuer Sozialgeschichte,Sebastian Karcher,^https?://library\.fes\.de/jportal/,3,,100,TRUE,4,gcbv,5/15/2013 20:05,https://www.degruyter.com/view/j/iasl,15245,China,7485,https://www.researchgate.net/journal/0340-4528_Internationales...,https://www.researchgate.net/journal/1865-9128_Internationales...
Archive Ouverte en Sciences de l'Information et de la Communication  (AOSIC).js,Normal,dedcae51-073c-48fb-85ce-2425e97f128d,Archive Ouverte en Sciences de l'Information et de la Communication  (AOSIC),Michael Berkowitz,^https?://archivesic\.ccsd\.cnrs\.fr/,1.0.0b4.r5,,100,TRUE,4,gcsibv,6/2/2015 5:58,https://hal.archives-ouvertes.fr,7257,France,671,https://archivesic.ccsd.cnrs.fr,https://halshs.archives-ouvertes.fr
Archives Canada-France.js,Normal,d9a16cf3-8b86-4cab-8610-dbd913ad1a44,Archives Canada-France,Adam Crymble,^https?://bd\.archivescanadafrance\.org,1.0.0b4.r5,,100,TRUE,4,gcsibv,1/1/2012 1:42,www.archivescanada.ca,,,,https://collectionscanada.gc.ca,https://archive.org/web
Archives Canada.js,Normal,18bc329c-51af-497e-a7cf-aa572fae363d,Archives Canada,Adam Crymble,^https?://(www\.)?archivescanada\.ca,3,,100,TRUE,4,gcsb,12/7/2013 15:18,Canadian.Ancestry.com,1114,United States,239,https://www.bac-lac.gc.ca/eng/Pages/home.aspx,www.archivescanada.ca
Artefacts Canada.js,Normal,661fc39a-2500-4710-8285-2d67ddc00a69,Artefacts Canada,Adam Crymble,^https?://(www\.)?pro\.rcip-chin\.gc\.ca,1,,100,TRUE,4,gcsibv,9/16/2013 0:25,https://app.pch.gc.ca/application/artefacts_hum/indice_index.app?...,566267,Canada,22145,www.museumsoftware.com/artefactscanada.html,https://www.canada.ca/en/services/culture/history-heritage/...
Atlanta Journal Constitution.js,Normal,01322929-5782-4612-81f7-d861fb46d9f2,Atlanta Journal Constitution,Sebastian Karcher,^https?://(www\.|blogs\.)?ajc\.com,2.1.9,,100,TRUE,4,gcsibv,9/16/2013 0:28,https://www.ajc.com,5692,United States,1174,https://www.dawgnation.com,https://ajc.newspapers.com
Atypon Journals.js,Normal,5af42734-7cd5-4c69-97fc-bc406999bdba,Atypon Journals,Sebastian Karcher,^https?://[^?#]+(/doi/((abs|abstract|full|figure|ref|citedby|book)/)?10\.|/action/doSearch\?)|^https?://[^/]+/toc/,3,,270,TRUE,4,gcsibv,4/18/2018 18:19,https://www.atypon.com,44866,United Kingdom,1497,https://www.atypon.com/about-us,www.the-aps.org/mm/hp/Audiences/Public-Press/2017-6.html
AustLII and NZLII.js,Normal,5ed5ab01-899f-4a3b-a74c-290fb2a1c9a4,AustLII and NZLII,"Justin Warren, Philipp Zumstein",^https?://www\d?\.(austlii\.edu\.au|nzlii\.org),3,,100,TRUE,4,gcsibv,3/2/2018 9:46,www.nzlii.org,367371,New Zealand,1929,www.austlii.com,www.austlii.edu.au
Australian Dictionary of Biography.js,Normal,0aea3026-a246-4201-a4b5-265f75b9a6a7,Australian Dictionary of Biography,Sebastian Karcher,^https?://adb\.anu\.edu\.au/biography/,2.1.9,,100,TRUE,4,gcsbv,11/1/2016 18:10,adb.anu.edu.au,9904,China,3907,https://en.wikipedia.org/wiki/AuDB_Online,https://www.avondale.edu.au/.../Australian-Dictionary-of-Biography
BAILII.js,Normal,5ae63913-669a-4792-9f45-e089a37de9ab,BAILII,Bill McKinney,^https?://www\.bailii\.org(/cgi\-bin/markup\.cgi\?doc\=)?/\w+/cases/.+,1.0.0b4.r1,,100,TRUE,4,gcsibv,4/3/2014 16:36,www.bailii.org,88409,United Kingdom,4044,https://ials.sas.ac.uk/digital/bailii,onlinelibrary.london.ac.uk/resources/databases/bailii
BBC Genome.js,Normal,777e5ce0-0b16-4a12-8e6c-5a1a2cb33189,BBC Genome,Philipp Zumstein,^https?://genome\.ch\.bbc\.co\.uk/,3,,100,TRUE,4,gcsibv,9/4/2017 22:38,http://www.genomeweb.com,99322,United States,30846,https://genome.ch.bbc.co.uk,https://www.facebook.com/bbcgenome
BBC.js,Normal,f4130157-93f7-4493-8f24-a7c85549013d,BBC,Philipp Zumstein,^https?://(www|news?)\.bbc\.(co\.uk|com),3,,100,TRUE,4,gcsibv,7/18/2017 11:06,https://www.bbc.com,98,United States,75,https://www.bbcstudios.com,https://twitter.com/bbccouk
BIBSYS.js,Normal,ab961e61-2a8a-4be1-b8a3-044f20d52d78,BIBSYS,Ramesh Srigiriraju,^https?://ask\.bibsys\.no/ask/action,1.0.0b4.r1,,100,TRUE,4,gcsbv,4/4/2014 10:08,https://www.bibsys.no/en,35049,Norway,373,https://www.bibsys.no/about-us,https://twitter.com/bibsys
BOCC.js,Normal,ecd1b7c6-8d31-4056-8c15-1807b2489254,BOCC,Jos?? Antonio Meira da Rocha,^https?://[^/]*bocc[^/]*/(_listas|_esp),1,,100,TRUE,4,gcsbv,4/4/2014 10:08,www.citrusbocc.com,775234,United States,116272,https://www.thurstoncountywa.gov/bocc,https://polk-county.net
BOFiP-Impots.js,Normal,7d03e952-04ad-4d1d-845a-50b9eb545b10,BOFiP-Imp??ts,Guillaume Adreani,^https?://bofip\.impots\.gouv\.fr/bofip/,2.1.9,,100,TRUE,4,gcsib,1/1/2017 14:53,bofip.impots.gouv.fr,1524,France,47,www.accessify.com/i/bofip.impots.gouv.fr,https://www.easycounter.com/report/bofip.impots.gouv.fr
Baidu Scholar.js,Normal,e034d9be-c420-42cf-8311-23bca5735a32,Baidu Scholar,Philipp Zumstein,^https?://(www\.)?xueshu\.baidu\.com/,3,,100,TRUE,4,gcsibv,9/3/2017 16:52,scholar.baidu.com,4,China,1,https://hub.wiley.com/community/exchanges/discover/blog/2016/02/03/...,https://www.quora.com/How-can-I-create-a-Baidu-scholar-ID
Beobachter.js,Normal,a571680e-6338-46c2-a740-3cd9eb80fc7f,Beobachter,ibex,^https?://((www\.)?beobachter\.ch/.),2.1.9,,100,TRUE,4,gcsibv,9/7/2016 21:24,https://en.wikipedia.org/wiki/Beobachter_(magazine),5,United States,6,https://twitter.com/AnneSchnuppi,https://twitter.com/BeobachterRat
Bezneng Gajit.js,Normal,7500180d-ca99-4ef7-a9a9-3e58bba91d28,Bezneng Gajit,Avram Lyon,^https?://(www\.)?beznen\.ru,1,,100,TRUE,4,gcsbv,11/1/2016 18:22,http://www.wix.com/create-free-webpage,430,United States,319,https://gajitz.com,https://forums.zotero.org/discussion/comment/121014
BibLaTeX.js,NoData,,,,,,,,,,,,https://www.easytithe.com/church-giving/free-30-days,154900,United States,30050,https://tex.stackexchange.com/questions/3587,www.khirevich.com/latex/bibliography
BibTeX.js,Normal,9cb70025-a888-4a29-a210-93ec52da40d4,BibTeX,"Simon Kornblith, Richard Karnesky and Emiliano heyns",bib,2.1.9,,200,TRUE,3,gcsv,3/3/2018 13:10,www.bibtex.org/,169902,United States,83531,https://tex.stackexchange.com/questions/3587,www.bibtex.org
Biblio.com.js,Normal,9932d1a7-cc6d-4d83-8462-8f6658b13dc0,Biblio.com,"Adam Crymble, Michael Berkowitz, and Sebastian Karcher",^https?://www\.biblio\.com/,3,,100,TRUE,4,gcsibv,9/8/2016 6:09,www.Biblio.com,33232,United States,11329,https://www.biblio.com,https://www.biblio.com/app/sell
Bibliontology RDF.js,Normal,14763d25-8ba0-45df-8f52-b8d1108e7ac9,Bibliontology RDF,Simon Kornblith,rdf,2,,50,TRUE,3,gcsibv,6/3/2017 10:21,www.bibliontology.com,,,,https://github.com/zotero/translators/pull/512,bibliontology.com.composesite.com
Bibliotheque et Archives Nationale du Quebec (Pistard).js,Normal,1eb5eb03-26ab-4015-bd0d-65487734744a,Bibliotheque et Archives Nationale du Quebec (Pistard),Adam Crymble,^https?://pistard\.banq\.qc\.ca,1.0.0b4.r5,,100,TRUE,4,,8/6/2008 17:00,pistard.banq.qc.ca/unite_chercheurs/recherche_simple?P_rech_type=A,67088,Canada,1973,www.banq.qc.ca,https://www.banq.qc.ca
Bibliotheque et Archives Nationales du Quebec.js,Normal,59cce211-9d77-4cdd-876d-6229ea20367f,Biblioth??que et Archives Nationales du Qu??bec,Adam Crymble,^https?://catalogue\.banq\.qc\.ca/,3,,100,TRUE,4,gcsibv,6/29/2015 17:02,www.banq.qc.ca,67088,Canada,1973,www.banq.qc.ca/accueil/index.html?language_id=1,https://www.yelp.com/biz/biblioth??que-et-archives-nationales-du...
Bibliotheque nationale de France.js,Normal,47533cd7-ccaa-47a7-81bb-71c45e68a74d,Biblioth??que nationale de France,"Florian Ziche, Sylvain Machefert",^https?://[^/]*catalogue\.bnf\.fr,3,,100,TRUE,4,g,7/7/2017 11:47,www.bnf.fr,9511,France,499,en.parisinfo.com???€? What to see in Paris?,www.bnf.fr/en/tools/a.welcome_to_the_bnf.html
BioMed Central.js,Normal,75ccea3c-fdb8-4473-8203-ceb27f3395f8,BioMed Central,Philipp Zumstein,^https?://[^\.]+\.(biomedcentral|springeropen)\.com/(articles|search),3,,100,TRUE,4,gcsibv,6/24/2017 17:55,https://www.biomedcentral.com,3525,China,2027,https://rarediseases.org/organizations/biomed-central-ltd,https://en.wikipedia.org/wiki/Journal_of_Ethnobiology_and_Ethno...
BioOne.js,Normal,7cb0089b-9551-44b2-abca-eb03cbf586d9,BioOne,Michael Berkowitz,^https?://[^/]*www\.bioone\.org[^/]*/s,1.0.0b4.r5,,100,TRUE,4,gcsibv,4/3/2014 16:38,http://www.amazon.com/personal-care,10,United States,3,www.bioone.org,www.bioonepublishing.org
Blaetter.js,Normal,e8e10bd4-fd6f-4297-a060-a8e0a479043f,Blaetter fuer deutsche und internationale Politik,Martin Meyerhoff,^https?://www\.blaetter\.de,1,,100,TRUE,4,gcsibv,4/3/2014 16:42,https://www.blaetter.de/en,393606,Germany,18577,https://twitter.com/blaetter,https://www.easycounter.com/report/blaetter.de
Blogger.js,Normal,6f9aa90d-6631-4459-81ef-a0758d2e3921,Blogger,Adam Crymble,\.blogspot\.com,3,,100,TRUE,4,gcsibv,9/5/2016 23:14,http://www.wix.com/create-a-blog,430,United States,319,https://Website-Builders.TheTop10Sites.com/Build/Blog,http://www.simplesite.com/Create-A-Blog/Free
Bloomberg.js,Normal,a509f675-cf80-4b70-8cbc-2ea8664dd38f,Bloomberg,Philipp Zumstein,^https?://(www)?\.bloomberg\.com,3,,100,TRUE,4,gcsibv,9/8/2016 20:56,https://www.bloomberg.com/Bloomberg/Subscription,500,United States,193,https://www.bloomberg.com,https://www.bloomberg.org
Bookmarks.js,Normal,4e7119e0-02be-4848-86ef-79a64185aad8,Bookmarks,Avram Lyon,html,2.1b6,,100,TRUE,3,gcsibv,12/17/2017 17:43,http://www.uprinting.com/Bookmarks,22517,United States,4573,https://www.demco.com/bookmarks,https://www.48hourprint.com/bookmarks
Boston Review.js,Normal,55d28a64-e56e-4d3c-93db-a5fc584776de,Boston Review,Sebastian Karcher,^https?://(www\.)?bostonreview\.net/,2.1.9,,100,TRUE,4,gcsibv,8/9/2015 19:58,bostonreview.net,111182,United States,30802,https://twitter.com/BostonReview,thereviewreview.net/magazines/boston-review
Bracero History Archive.js,Normal,f9373e49-e6ac-46f7-aafe-bb24a2fbc3f0,Bracero History Archive,Adam Crymble,^https?://braceroarchive\.org,1.0.0b4.r5,,100,TRUE,4,gcsibv,1/30/2012 22:52,braceroarchive.org,1237334,United States,270192,https://historyexplorer.si.edu/resource/bracero-history-archive,https://www.neh.gov/explore/bracero-history-archive
